740,1,740,"Lic. Silvia Vargas Condori","Dermatología","Enfermera","I Nivel","COLMED-BE-4545",33
741,1,741,"Lic. Juan Arce Mamani","Anestesiología","Enfermera","III Nivel","COLMED-PA-1650",4
742,1,742,"Lic. Ana Pérez Rocha","Dermatología","Técnico Sanitario","II Nivel","COLMED-CH-7134",20
743,1,743,"Dra. Carlos Mendoza Vargas","Endocrinología","Cirujano","III Nivel","COLMED-PA-2364",5
744,1,744,"Dra. Patricia Condori Condori","Pediatría","Médico Residente","I Nivel","COLMED-PO-3504",35
745,1,745,"Lic. Carlos Pérez Aguilar","Oftalmología","Técnico Sanitario","III Nivel","COLMED-PO-1370",36
746,1,746,"Lic. Hugo Nina Mercado","Pediatría","Técnico Sanitario","I Nivel","COLMED-CH-9456",15
747,1,747,"Lic. Silvia Vaca Vargas","Anestesiología","Enfermera","III Nivel","COLMED-CH-5100",25
748,1,748,"Lic. Hugo Mendoza Rocha","Cardiología","Enfermera Jefe","III Nivel","COLMED-OR-9297",23
749,1,749,"Lic. Martha Vaca Zárate","Anestesiología","Enfermera Jefe","III Nivel","COLMED-OR-3951",25
750,1,750,"Dra. Patricia Pérez Ticona","Endocrinología","Cirujano","II Nivel","COLMED-BE-1868",23
751,1,751,"Dra. Rosa Vaca Mendoza","Cardiología","Médico General","II Nivel","COLMED-CB-1097",29
752,1,752,"Dra. Carlos Salvatierra Nina","Medicina Interna","Médico General","III Nivel","COLMED-CB-4117",13
753,1,753,"Dra. Martha Quispe Pinto","Dermatología","Médico General","II Nivel","COLMED-LP-1538",26
754,1,754,"Lic. José Pinto Rojas","Neurología","Técnico Sanitario","II Nivel","COLMED-SC-3009",31
755,1,755,"Lic. Laura Salvatierra Rojas","Medicina Interna","Enfermera Jefe","III Nivel","COLMED-PO-4152",40
756,1,756,"Lic. Ana Pinto Pérez","Cirugía General","Técnico Sanitario","III Nivel","COLMED-CH-7358",22
757,1,757,"Dra. Ana Rojas Rocha","Cardiología","Médico General","III Nivel","COLMED-LP-7923",13
758,1,758,"Dra. Martha Choque Flores","Dermatología","Médico General","II Nivel","COLMED-LP-3921",20
759,1,759,"Lic. Martha Salvatierra Vaca","Medicina Interna","Enfermera Jefe","II Nivel","COLMED-SC-8076",37
760,1,760,"Lic. Javier Pinto Rocha","Dermatología","Enfermera","III Nivel","COLMED-SC-6967",8
761,1,761,"Dra. Javier Ticona Salvatierra","Cirugía General","Médico Especialista","I Nivel","COLMED-TJ-6375",30
762,1,762,"Dra. Pedro Condori Flores","Traumatología","Médico General","II Nivel","COLMED-SC-6998",38
763,1,763,"Lic. Juan Quispe Vargas","Anestesiología","Enfermera Jefe","II Nivel","COLMED-LP-5935",1
764,1,764,"Dra. Ana Arce Rocha","Cardiología","Médico Residente","II Nivel","COLMED-SC-4658",20
765,1,765,"Dra. Fernando Nina Nina","Neurología","Médico Residente","II Nivel","COLMED-CB-1447",21
766,1,766,"Dr. Martha Mendoza Mendoza","Cardiología","Médico General","II Nivel","COLMED-OR-4656",4
767,1,767,"Dra. Laura Mamani Pérez","Dermatología","Médico General","I Nivel","COLMED-CH-1421",33
768,1,768,"Lic. Silvia Rocha Mercado","Medicina Interna","Enfermera","I Nivel","COLMED-CH-1009",26
769,1,769,"Dr. Fernando Vaca Vargas","Dermatología","Médico Especialista","II Nivel","COLMED-OR-3896",11
770,1,770,"Lic. Martha Aguilar Vaca","Anestesiología","Enfermera Jefe","I Nivel","COLMED-CB-8872",30
771,1,771,"Dra. José Nina Mendoza","Anestesiología","Médico General","III Nivel","COLMED-SC-7724",35
772,1,772,"Dr. Fernando Condori Mendoza","Cirugía General","Médico Especialista","I Nivel","COLMED-TJ-5024",25
773,1,773,"Dra. Rosa Salvatierra Rocha","Ginecología y Obstetricia","Médico Residente","II Nivel","COLMED-CB-6677",21
774,1,774,"Dr. Patricia Salvatierra Mercado","Pediatría","Médico Residente","I Nivel","COLMED-BE-4387",2
775,1,775,"Dr. Pedro Pinto Flores","Traumatología","Médico General","I Nivel","COLMED-BE-7908",40
776,1,776,"Lic. Rosa Vargas Quispe","Urología","Enfermera Jefe","II Nivel","COLMED-PA-8045",32
777,1,777,"Lic. Rosa Mendoza Zárate","Medicina Interna","Enfermera","II Nivel","COLMED-TJ-3386",10
778,1,778,"Dr. María Pérez Quispe","Traumatología","Cirujano","III Nivel","COLMED-BE-9366",17
779,1,779,"Lic. Hugo Pinto Quispe","Anestesiología","Técnico Sanitario","II Nivel","COLMED-PO-8108",24
780,1,780,"Dr. Daniela Quispe Mendoza","Endocrinología","Médico Especialista","II Nivel","COLMED-PA-9820",1
781,1,781,"Dra. Silvia Vargas Mamani","Medicina General","Cirujano","II Nivel","COLMED-SC-8896",40
782,1,782,"Lic. Marcos Salvatierra Mendoza","Urología","Enfermera Jefe","I Nivel","COLMED-PA-9828",5
783,1,783,"Lic. Luis Pinto Mercado","Endocrinología","Enfermera Jefe","II Nivel","COLMED-SC-3041",39
784,1,784,"Dr. Jorge Arce Pinto","Cardiología","Médico General","II Nivel","COLMED-TJ-8842",18
785,1,785,"Dr. Marcos Rojas Quispe","Ginecología y Obstetricia","Cirujano","II Nivel","COLMED-BE-5814",36
786,1,786,"Dra. María Mendoza Pinto","Neurología","Médico Residente","II Nivel","COLMED-PA-3410",3
787,1,787,"Dra. Javier Gutiérrez Vaca","Medicina General","Médico Especialista","II Nivel","COLMED-BE-5065",38
788,1,788,"Lic. Carlos Salvatierra Zárate","Cirugía General","Enfermera","III Nivel","COLMED-PA-1260",13
789,1,789,"Lic. Raúl Mamani Arce","Pediatría","Enfermera Jefe","II Nivel","COLMED-TJ-2059",27
790,1,790,"Dr. Javier Mamani Aguilar","Cardiología","Médico Especialista","II Nivel","COLMED-PO-7771",35
791,1,791,"Dra. Pedro Choque Condori","Anestesiología","Médico Residente","I Nivel","COLMED-SC-6841",23
792,1,792,"Lic. María Pinto Pérez","Pediatría","Técnico Sanitario","I Nivel","COLMED-PO-4369",19
793,1,793,"Dra. Patricia Vaca Salvatierra","Urología","Médico Especialista","II Nivel","COLMED-CH-3526",8
794,1,794,"Dr. Laura Mendoza Condori","Urología","Médico Especialista","I Nivel","COLMED-LP-3679",31
795,1,795,"Lic. Javier Choque Condori","Cirugía General","Enfermera","III Nivel","COLMED-LP-6654",24
796,1,796,"Lic. Fernando Pinto Quispe","Ginecología y Obstetricia","Técnico Sanitario","II Nivel","COLMED-OR-8323",5
797,1,797,"Dra. Ana Gutiérrez Salvatierra","Cardiología","Médico Especialista","I Nivel","COLMED-BE-2000",8
798,1,798,"Dra. Martha Arce Choque","Ginecología y Obstetricia","Médico Especialista","II Nivel","COLMED-LP-5982",5
799,1,799,"Dra. Raúl Mamani Vargas","Endocrinología","Médico Especialista","II Nivel","COLMED-LP-9032",14
800,1,800,"Dra. Raúl Arce Zárate","Oftalmología","Médico Especialista","III Nivel","COLMED-PA-4511",32
801,1,801,"Dr. Carlos Vaca Vaca","Neurología","Médico Residente","I Nivel","COLMED-LP-1993",15
802,1,802,"Lic. María Gutiérrez Arce","Medicina General","Técnico Sanitario","III Nivel","COLMED-TJ-7843",20
803,1,803,"Lic. Fernando Arce Quispe","Dermatología","Enfermera","II Nivel","COLMED-CH-7826",5
804,1,804,"Dr. Daniela Pinto Pinto","Urología","Médico Especialista","I Nivel","COLMED-PA-6938",31
805,1,805,"Dr. Juan Vargas Flores","Neurología","Médico General","II Nivel","COLMED-TJ-1325",9
806,1,806,"Dr. Pedro Condori Choque","Ginecología y Obstetricia","Médico General","II Nivel","COLMED-LP-3724",22
807,1,807,"Dra. Rosa Mercado Flores","Oftalmología","Cirujano","I Nivel","COLMED-PO-8496",10
808,1,808,"Dr. Juan Salvatierra Mamani","Oftalmología","Cirujano","I Nivel","COLMED-PA-6648",33
809,1,809,"Dr. Silvia Salvatierra Pérez","Neurología","Cirujano","II Nivel","COLMED-CB-1790",26
810,1,810,"Dra. Silvia Rocha Ticona","Endocrinología","Médico Especialista","II Nivel","COLMED-OR-5310",9
811,1,811,"Dra. Pedro Salvatierra Ticona","Oftalmología","Cirujano","I Nivel","COLMED-TJ-4656",35
812,1,812,"Lic. Javier Condori Vaca","Pediatría","Enfermera Jefe","II Nivel","COLMED-TJ-1637",28
813,1,813,"Dra. Ana Salvatierra Pinto","Endocrinología","Médico General","II Nivel","COLMED-BE-1603",14
814,1,814,"Lic. Juan Aguilar Vargas","Endocrinología","Enfermera","II Nivel","COLMED-CH-8950",28
815,1,815,"Dr. Juan Mercado Nina","Medicina General","Médico Residente","II Nivel","COLMED-TJ-5791",19
816,1,816,"Dr. Carmen Flores Rocha","Endocrinología","Médico Especialista","II Nivel","COLMED-CB-5394",15
817,1,817,"Dr. Juan Vargas Ticona","Medicina Interna","Cirujano","II Nivel","COLMED-CB-7023",17
818,1,818,"Lic. Laura Zárate Aguilar","Medicina Interna","Técnico Sanitario","III Nivel","COLMED-TJ-8023",31
819,1,819,"Lic. Laura Mamani Vargas","Medicina General","Enfermera Jefe","I Nivel","COLMED-SC-4314",37
820,1,820,"Dr. Silvia Salvatierra Nina","Anestesiología","Médico Especialista","I Nivel","COLMED-SC-7789",8
821,1,821,"Dra. Silvia Nina Quispe","Oftalmología","Médico General","II Nivel","COLMED-OR-3463",31
822,1,822,"Lic. Carmen Gutiérrez Vaca","Anestesiología","Técnico Sanitario","I Nivel","COLMED-PA-5162",23
823,1,823,"Lic. José Vargas Pérez","Urología","Enfermera Jefe","I Nivel","COLMED-LP-7334",2
824,1,824,"Lic. Martha Mercado Mamani","Cardiología","Técnico Sanitario","II Nivel","COLMED-LP-8872",40
825,1,825,"Dra. María Flores Vaca","Medicina General","Médico Especialista","I Nivel","COLMED-TJ-8535",36
826,1,826,"Lic. Pedro Vargas Rocha","Pediatría","Enfermera","II Nivel","COLMED-OR-1296",35
827,1,827,"Lic. Carlos Arce Nina","Ginecología y Obstetricia","Enfermera","III Nivel","COLMED-SC-4780",35
828,1,828,"Dra. Rosa Choque Rocha","Urología","Médico Especialista","I Nivel","COLMED-TJ-8576",28
829,1,829,"Lic. Ana Vargas Gutiérrez","Traumatología","Enfermera Jefe","I Nivel","COLMED-PO-1347",32
830,1,830,"Lic. Daniela Vaca Zárate","Traumatología","Enfermera Jefe","III Nivel","COLMED-CH-6073",37
831,1,831,"Lic. Rosa Arce Ticona","Endocrinología","Enfermera Jefe","III Nivel","COLMED-PA-7353",30
832,1,832,"Dr. José Quispe Salvatierra","Medicina Interna","Médico Especialista","I Nivel","COLMED-BE-5047",7
833,1,833,"Lic. José Choque Aguilar","Endocrinología","Enfermera Jefe","II Nivel","COLMED-PA-9807",14
834,1,834,"Dr. Raúl Pinto Aguilar","Ginecología y Obstetricia","Médico Residente","II Nivel","COLMED-BE-1271",5
835,1,835,"Dra. José Rocha Mercado","Medicina General","Médico General","II Nivel","COLMED-OR-8736",30
836,1,836,"Dra. Javier Condori Vaca","Cirugía General","Médico General","II Nivel","COLMED-BE-9214",27
837,1,837,"Dr. Carmen Rojas Ticona","Endocrinología","Médico General","III Nivel","COLMED-BE-4320",22
838,1,838,"Dra. José Vargas Quispe","Ginecología y Obstetricia","Cirujano","III Nivel","COLMED-OR-2337",37
839,1,839,"Lic. Jorge Quispe Rojas","Cardiología","Técnico Sanitario","I Nivel","COLMED-LP-7162",14
840,1,840,"Dr. Javier Choque Mendoza","Anestesiología","Cirujano","I Nivel","COLMED-PA-6983",15
841,1,841,"Lic. Carlos Flores Zárate","Pediatría","Enfermera Jefe","III Nivel","COLMED-CH-5770",34
842,1,842,"Dra. Martha Gutiérrez Condori","Traumatología","Médico General","III Nivel","COLMED-CH-8912",18
843,1,843,"Dra. Marcos Salvatierra Salvatierra","Medicina General","Médico General","III Nivel","COLMED-PO-4552",23
844,1,844,"Dr. Martha Mamani Rojas","Dermatología","Médico Residente","II Nivel","COLMED-OR-7011",8
845,1,845,"Dra. Pedro Rojas Pérez","Oftalmología","Cirujano","II Nivel","COLMED-PO-2134",9
846,1,846,"Dra. Silvia Mercado Vargas","Medicina Interna","Médico General","III Nivel","COLMED-TJ-9502",31
847,1,847,"Dr. Carmen Zárate Mendoza","Urología","Médico Residente","III Nivel","COLMED-CB-7868",26
848,1,848,"Lic. Luis Vaca Condori","Neurología","Enfermera","II Nivel","COLMED-BE-5181",11
849,1,849,"Lic. Ana Quispe Nina","Medicina General","Técnico Sanitario","II Nivel","COLMED-CH-2536",6
850,1,850,"Lic. Luis Rocha Choque","Medicina Interna","Enfermera","II Nivel","COLMED-PA-5096",24
851,1,851,"Lic. Juan Condori Vaca","Traumatología","Enfermera","I Nivel","COLMED-PA-4433",33
852,1,852,"Lic. Juan Arce Mendoza","Medicina Interna","Enfermera Jefe","III Nivel","COLMED-PO-4455",12
853,1,853,"Dr. José Mendoza Gutiérrez","Cirugía General","Médico General","III Nivel","COLMED-PO-1002",33
854,1,854,"Dra. Carlos Vaca Arce","Urología","Médico Residente","I Nivel","COLMED-CB-3201",37
855,1,855,"Lic. Patricia Condori Vaca","Medicina Interna","Enfermera","I Nivel","COLMED-PO-3435",32
856,1,856,"Lic. Daniela Zárate Arce","Ginecología y Obstetricia","Enfermera Jefe","II Nivel","COLMED-CH-3006",4
857,1,857,"Lic. Hugo Arce Pérez","Pediatría","Enfermera","III Nivel","COLMED-SC-5346",26
858,1,858,"Lic. Laura Rojas Rocha","Endocrinología","Enfermera Jefe","III Nivel","COLMED-CB-7502",37
859,1,859,"Lic. Daniela Choque Mendoza","Neurología","Técnico Sanitario","II Nivel","COLMED-LP-4266",8
860,1,860,"Dr. Jorge Rojas Mendoza","Cardiología","Médico General","III Nivel","COLMED-PO-1697",33
861,1,861,"Lic. Carmen Gutiérrez Pinto","Cirugía General","Enfermera Jefe","I Nivel","COLMED-CH-5976",30
862,1,862,"Dra. Raúl Mendoza Mendoza","Medicina Interna","Cirujano","I Nivel","COLMED-PO-7098",13
863,1,863,"Dra. María Quispe Choque","Medicina Interna","Cirujano","III Nivel","COLMED-LP-7394",34
864,1,864,"Lic. Hugo Zárate Flores","Ginecología y Obstetricia","Enfermera","III Nivel","COLMED-PO-1640",33
865,1,865,"Dra. Silvia Arce Zárate","Urología","Cirujano","I Nivel","COLMED-PO-6706",34
866,1,866,"Dra. Marcos Rojas Choque","Medicina Interna","Cirujano","I Nivel","COLMED-SC-5403",34
867,1,867,"Dr. Laura Quispe Choque","Cirugía General","Médico Especialista","I Nivel","COLMED-PA-5257",5
868,1,868,"Dr. Raúl Mendoza Aguilar","Ginecología y Obstetricia","Médico General","III Nivel","COLMED-OR-1587",7
869,1,869,"Lic. Martha Flores Gutiérrez","Ginecología y Obstetricia","Enfermera","I Nivel","COLMED-LP-2096",6
870,1,870,"Lic. Daniela Salvatierra Aguilar","Cirugía General","Enfermera Jefe","II Nivel","COLMED-LP-5983",18
871,1,871,"Lic. Juan Condori Rocha","Medicina General","Enfermera Jefe","I Nivel","COLMED-PO-9271",26
872,1,872,"Dr. Laura Flores Pérez","Cirugía General","Médico General","III Nivel","COLMED-SC-5256",22
873,1,873,"Dra. Hugo Aguilar Vargas","Anestesiología","Médico General","I Nivel","COLMED-TJ-9004",35
874,1,874,"Lic. Daniela Mendoza Flores","Cardiología","Enfermera Jefe","III Nivel","COLMED-BE-4518",26
875,1,875,"Dr. Jorge Vargas Vaca","Medicina Interna","Médico Especialista","III Nivel","COLMED-CB-7771",33
876,1,876,"Lic. Laura Rojas Salvatierra","Medicina General","Técnico Sanitario","I Nivel","COLMED-BE-7839",1
877,1,877,"Lic. Rosa Mamani Mercado","Oftalmología","Técnico Sanitario","II Nivel","COLMED-BE-2559",29
878,1,878,"Lic. Carmen Vaca Flores","Oftalmología","Técnico Sanitario","II Nivel","COLMED-TJ-5190",21
879,1,879,"Dra. Martha Zárate Pérez","Endocrinología","Médico Especialista","II Nivel","COLMED-PO-9296",15
880,1,880,"Dr. Hugo Flores Gutiérrez","Pediatría","Médico Residente","III Nivel","COLMED-LP-6793",32
881,1,881,"Lic. Rosa Aguilar Mamani","Anestesiología","Enfermera Jefe","III Nivel","COLMED-CB-8555",23
882,1,882,"Dr. Marcos Vargas Pinto","Endocrinología","Médico Residente","I Nivel","COLMED-CB-1920",39
883,1,883,"Dra. Carlos Pinto Zárate","Dermatología","Cirujano","I Nivel","COLMED-BE-2250",2
884,1,884,"Dra. Luis Salvatierra Vargas","Endocrinología","Médico Especialista","III Nivel","COLMED-TJ-4568",38
885,1,885,"Dr. Juan Zárate Vaca","Urología","Cirujano","II Nivel","COLMED-TJ-3434",40
886,1,886,"Lic. Carlos Pérez Pinto","Traumatología","Técnico Sanitario","I Nivel","COLMED-BE-1820",22
887,1,887,"Lic. Daniela Nina Rocha","Cardiología","Enfermera","I Nivel","COLMED-SC-8457",20
888,1,888,"Dra. Hugo Pérez Condori","Pediatría","Médico General","III Nivel","COLMED-OR-7233",37
889,1,889,"Lic. Juan Choque Pinto","Medicina General","Enfermera","I Nivel","COLMED-SC-7264",40
890,1,890,"Dr. Luis Choque Zárate","Medicina Interna","Médico Residente","II Nivel","COLMED-PO-3295",4
891,1,891,"Dra. Carmen Pérez Quispe","Traumatología","Médico Especialista","I Nivel","COLMED-PO-3818",7
892,1,892,"Dr. Rosa Zárate Rojas","Medicina Interna","Médico Residente","I Nivel","COLMED-CB-2285",11
893,1,893,"Lic. María Condori Aguilar","Dermatología","Enfermera","II Nivel","COLMED-TJ-8445",35
894,1,894,"Lic. Fernando Flores Arce","Endocrinología","Técnico Sanitario","III Nivel","COLMED-OR-3605",11
895,1,895,"Dr. Raúl Pérez Rocha","Cirugía General","Médico Especialista","II Nivel","COLMED-PA-5752",20
896,1,896,"Lic. Juan Aguilar Arce","Urología","Técnico Sanitario","I Nivel","COLMED-SC-5111",21
897,1,897,"Dr. Silvia Rocha Vargas","Endocrinología","Médico Especialista","III Nivel","COLMED-CB-1639",14
898,1,898,"Lic. Javier Salvatierra Flores","Cardiología","Enfermera Jefe","II Nivel","COLMED-TJ-8487",25
899,1,899,"Dr. Juan Gutiérrez Rocha","Neurología","Médico Especialista","I Nivel","COLMED-LP-8032",19
900,1,900,"Dra. Javier Nina Choque","Traumatología","Médico Especialista","III Nivel","COLMED-OR-5126",27
901,1,901,"Dra. Pedro Rojas Rojas","Medicina Interna","Médico Especialista","III Nivel","COLMED-SC-1472",14
902,1,902,"Dr. Carlos Condori Vargas","Anestesiología","Médico General","II Nivel","COLMED-PO-7422",7
903,1,903,"Dra. Daniela Quispe Salvatierra","Urología","Cirujano","III Nivel","COLMED-LP-3537",9
904,1,904,"Dr. Fernando Aguilar Aguilar","Anestesiología","Cirujano","I Nivel","COLMED-PA-1964",15
905,1,905,"Lic. Javier Rocha Condori","Medicina Interna","Enfermera Jefe","I Nivel","COLMED-BE-9997",29
906,1,906,"Lic. José Arce Mercado","Traumatología","Enfermera Jefe","III Nivel","COLMED-CH-8281",9
907,1,907,"Dr. Patricia Pérez Vaca","Urología","Cirujano","III Nivel","COLMED-LP-3559",40
908,1,908,"Dr. Jorge Mendoza Pinto","Traumatología","Médico Residente","II Nivel","COLMED-CH-9817",18
909,1,909,"Lic. Jorge Mendoza Rocha","Traumatología","Enfermera","III Nivel","COLMED-TJ-4651",16
910,1,910,"Dra. Raúl Pérez Flores","Urología","Cirujano","II Nivel","COLMED-PA-6225",38
911,1,911,"Dr. Raúl Aguilar Rojas","Dermatología","Médico General","I Nivel","COLMED-CH-1281",38
912,1,912,"Lic. Hugo Pinto Ticona","Cardiología","Enfermera Jefe","III Nivel","COLMED-TJ-3355",39
913,1,913,"Dra. Carlos Salvatierra Pinto","Cardiología","Médico Especialista","I Nivel","COLMED-BE-4352",16
914,1,914,"Dr. Marcos Aguilar Pinto","Urología","Médico Especialista","III Nivel","COLMED-CH-3500",31
915,1,915,"Dr. Martha Rocha Pérez","Pediatría","Médico Residente","I Nivel","COLMED-BE-1653",15
916,1,916,"Lic. Daniela Flores Nina","Anestesiología","Técnico Sanitario","II Nivel","COLMED-PA-2728",26
917,1,917,"Dr. José Condori Condori","Ginecología y Obstetricia","Médico Especialista","I Nivel","COLMED-CB-8080",30
918,1,918,"Lic. Hugo Ticona Mendoza","Dermatología","Enfermera","III Nivel","COLMED-LP-3578",30
919,1,919,"Lic. Pedro Salvatierra Flores","Cirugía General","Enfermera Jefe","I Nivel","COLMED-CH-1816",31
920,1,920,"Dr. Javier Choque Arce","Endocrinología","Médico Especialista","I Nivel","COLMED-LP-2868",8
921,1,921,"Lic. María Arce Condori","Medicina General","Enfermera","III Nivel","COLMED-TJ-6689",20
922,1,922,"Lic. Laura Zárate Flores","Cirugía General","Técnico Sanitario","III Nivel","COLMED-BE-6928",31
923,1,923,"Lic. Patricia Arce Condori","Anestesiología","Técnico Sanitario","II Nivel","COLMED-BE-5604",9
924,1,924,"Lic. Marcos Salvatierra Mercado","Cardiología","Técnico Sanitario","II Nivel","COLMED-LP-3804",6
925,1,925,"Dra. Luis Gutiérrez Mercado","Cardiología","Médico General","III Nivel","COLMED-OR-1309",32
926,1,926,"Lic. Laura Mamani Choque","Anestesiología","Técnico Sanitario","I Nivel","COLMED-TJ-7667",7
927,1,927,"Dra. José Vaca Vargas","Cardiología","Médico Especialista","III Nivel","COLMED-OR-1775",17
928,1,928,"Dra. Rosa Zárate Vaca","Pediatría","Médico Especialista","II Nivel","COLMED-SC-3730",8
929,1,929,"Lic. Pedro Vaca Aguilar","Urología","Enfermera Jefe","III Nivel","COLMED-CH-1631",1
930,1,930,"Dra. Fernando Flores Rocha","Cardiología","Médico Especialista","II Nivel","COLMED-BE-8157",40
931,1,931,"Lic. Rosa Rocha Flores","Anestesiología","Técnico Sanitario","III Nivel","COLMED-LP-9842",29
932,1,932,"Lic. Carmen Zárate Flores","Neurología","Enfermera Jefe","II Nivel","COLMED-PO-2181",33
933,1,933,"Dra. Martha Salvatierra Vargas","Cardiología","Cirujano","III Nivel","COLMED-SC-6527",18
934,1,934,"Dra. Daniela Mendoza Gutiérrez","Medicina General","Médico General","III Nivel","COLMED-CH-7442",8
935,1,935,"Lic. Patricia Mendoza Mamani","Traumatología","Enfermera","III Nivel","COLMED-PO-7450",3
936,1,936,"Lic. Juan Pérez Gutiérrez","Cardiología","Enfermera","III Nivel","COLMED-CH-1741",33
937,1,937,"Lic. Marcos Zárate Flores","Medicina Interna","Técnico Sanitario","II Nivel","COLMED-SC-6815",34
938,1,938,"Lic. Jorge Nina Gutiérrez","Cirugía General","Enfermera Jefe","II Nivel","COLMED-PA-3261",11
939,1,939,"Lic. Patricia Flores Rocha","Medicina Interna","Enfermera","I Nivel","COLMED-SC-9010",8
940,1,940,"Dra. Daniela Rojas Vaca","Pediatría","Médico Especialista","I Nivel","COLMED-SC-4477",28
941,1,941,"Lic. Daniela Pérez Salvatierra","Neurología","Enfermera","II Nivel","COLMED-CB-2870",35
942,1,942,"Dra. Hugo Zárate Pérez","Anestesiología","Cirujano","II Nivel","COLMED-BE-8361",3
943,1,943,"Lic. Raúl Quispe Mamani","Cardiología","Enfermera","II Nivel","COLMED-CH-3437",30
944,1,944,"Dr. Silvia Rocha Mercado","Urología","Cirujano","II Nivel","COLMED-LP-8730",17
945,1,945,"Dra. Carmen Quispe Mamani","Dermatología","Médico General","I Nivel","COLMED-CB-1982",33
946,1,946,"Dr. Luis Mendoza Choque","Ginecología y Obstetricia","Cirujano","I Nivel","COLMED-TJ-8902",12
947,1,947,"Dr. Pedro Pérez Rojas","Cardiología","Médico Residente","I Nivel","COLMED-OR-1449",21
948,1,948,"Dra. José Rojas Quispe","Cirugía General","Cirujano","II Nivel","COLMED-TJ-7649",30
949,1,949,"Lic. José Aguilar Mendoza","Medicina General","Enfermera","I Nivel","COLMED-LP-6845",34
950,1,950,"Dra. Pedro Arce Condori","Neurología","Médico Residente","II Nivel","COLMED-LP-1729",2
951,1,951,"Dra. Jorge Mamani Gutiérrez","Dermatología","Cirujano","I Nivel","COLMED-CH-6122",32
952,1,952,"Dr. Luis Ticona Mercado","Cardiología","Cirujano","I Nivel","COLMED-CB-7858",27
953,1,953,"Dr. Marcos Choque Mercado","Traumatología","Médico Residente","III Nivel","COLMED-CB-5205",6
954,1,954,"Dra. Fernando Salvatierra Mendoza","Traumatología","Cirujano","III Nivel","COLMED-TJ-5792",22
955,1,955,"Dr. Raúl Mamani Pérez","Urología","Médico Residente","I Nivel","COLMED-LP-4999",18
956,1,956,"Lic. Raúl Zárate Pinto","Traumatología","Técnico Sanitario","I Nivel","COLMED-PA-4206",9
957,1,957,"Dr. Patricia Quispe Arce","Cardiología","Médico Especialista","II Nivel","COLMED-PO-8516",25
958,1,958,"Lic. Silvia Choque Zárate","Oftalmología","Técnico Sanitario","II Nivel","COLMED-CB-3388",17
959,1,959,"Dr. Luis Vargas Gutiérrez","Medicina General","Médico Especialista","II Nivel","COLMED-BE-9364",17
960,1,960,"Lic. Ana Vaca Pinto","Urología","Enfermera Jefe","I Nivel","COLMED-PA-6296",30
961,1,961,"Lic. Rosa Quispe Salvatierra","Medicina General","Técnico Sanitario","II Nivel","COLMED-BE-7358",26
962,1,962,"Lic. Martha Gutiérrez Flores","Oftalmología","Técnico Sanitario","III Nivel","COLMED-LP-3064",35
963,1,963,"Dr. Jorge Gutiérrez Arce","Medicina Interna","Médico Residente","I Nivel","COLMED-CB-7060",33
964,1,964,"Lic. Jorge Rojas Vargas","Traumatología","Enfermera","I Nivel","COLMED-SC-1228",12
965,1,965,"Dra. Laura Rojas Mendoza","Oftalmología","Médico Especialista","III Nivel","COLMED-CH-3479",29
966,1,966,"Lic. Carmen Vaca Vaca","Pediatría","Técnico Sanitario","III Nivel","COLMED-PO-1108",17
967,1,967,"Lic. José Mendoza Mendoza","Pediatría","Enfermera","I Nivel","COLMED-OR-1259",37
968,1,968,"Dra. Javier Choque Vaca","Dermatología","Médico Especialista","III Nivel","COLMED-TJ-5291",31
969,1,969,"Lic. Carmen Flores Rojas","Medicina Interna","Enfermera Jefe","I Nivel","COLMED-SC-9317",8
970,1,970,"Lic. Patricia Mercado Condori","Oftalmología","Enfermera Jefe","II Nivel","COLMED-CH-5073",15
971,1,971,"Dra. Pedro Arce Vaca","Medicina General","Médico Especialista","II Nivel","COLMED-CB-4110",22
972,1,972,"Lic. Ana Pinto Condori","Ginecología y Obstetricia","Enfermera Jefe","II Nivel","COLMED-TJ-1780",33
973,1,973,"Dr. José Gutiérrez Nina","Cardiología","Cirujano","I Nivel","COLMED-PA-8121",37
974,1,974,"Dra. Carlos Salvatierra Pérez","Urología","Médico General","III Nivel","COLMED-BE-3983",14
975,1,975,"Lic. Laura Salvatierra Pérez","Neurología","Enfermera Jefe","I Nivel","COLMED-CH-8940",31
976,1,976,"Lic. Marcos Mendoza Rojas","Cardiología","Enfermera Jefe","III Nivel","COLMED-CH-6435",39
977,1,977,"Lic. Juan Flores Choque","Urología","Enfermera Jefe","II Nivel","COLMED-CH-6708",30
978,1,978,"Dra. Carmen Rocha Mamani","Anestesiología","Médico Especialista","I Nivel","COLMED-LP-6665",20
979,1,979,"Lic. Laura Quispe Salvatierra","Pediatría","Enfermera Jefe","III Nivel","COLMED-CH-8464",26
980,1,980,"Dr. Marcos Mendoza Zárate","Oftalmología","Médico General","II Nivel","COLMED-OR-9673",17
981,1,981,"Lic. Carmen Vargas Flores","Pediatría","Enfermera","I Nivel","COLMED-SC-2616",40
982,1,982,"Dra. Marcos Mercado Rocha","Medicina General","Médico Especialista","III Nivel","COLMED-OR-9961",32
983,1,983,"Dra. Ana Choque Condori","Neurología","Médico Residente","II Nivel","COLMED-CH-6222",27
984,1,984,"Lic. Hugo Rocha Vargas","Medicina General","Técnico Sanitario","I Nivel","COLMED-CB-2660",14
